"","Date","EntryTime","ExitTime","Direction","EntryPrice","ExecEntryPrice","ExitPrice","ExecExitPrice","StopPrice","R","Shares","NotionalPosition","MarginUsed","GrossPnL","Commission","NetPnL","ExitReason","CapitalBefore","CapitalAfter","R_Multiple"
"1",18544,2020-10-09 13:35:00,2020-10-09 19:55:00,"Long",283.190002,283.224569121031,285.709991,285.700550962719,282.709991,0.48001099999999,2083,589884.774166,58988.4774166,5157.47017623693,4.166,5153.30417623693,"Timed",1e+05,105153.304176237,5.15401072410516
"2",18547,2020-10-12 13:35:00,2020-10-12 13:35:00,"Short",290.609985,290.591018344559,290.600006,290.648139327579,290.600006,0.00997899999998708,3618,1051426.92573,105142.692573,-206.66371656723,7.236,-213.89971656723,"SL",105153.304176237,104939.40445967,-5.92453983568666
"3",18548,2020-10-13 13:35:00,2020-10-13 15:20:00,"Short",294.910003,294.889507954189,296.390014,296.406633206308,296.390014,1.48001099999999,709,209091.192127,20909.1192127,-1075.64180375294,1.418,-1077.05980375294,"SL",104939.40445967,103862.344655917,-1.02642835230266
"4",18549,2020-10-14 13:35:00,2020-10-14 13:35:00,"Short",295.109985,295.09187664773,295.359985,295.384398440595,295.359985,0.25,3519,1038492.037215,103849.2037215,-1029.38418909209,7.038,-1036.42218909209,"SL",103862.344655917,102825.922466825,-1.17808717146018
"5",18550,2020-10-15 13:35:00,2020-10-15 14:40:00,"Long",288.5,288.508057399125,286.679992,286.640195202021,286.679992,1.82000799999997,564,162714,16271.4,-1053.47427916662,1.128,-1054.60227916662,"SL",102825.922466825,101771.320187658,-1.02739229558549
"6",18551,2020-10-16 13:35:00,2020-10-16 13:40:00,"Short",291.579986,291.559011230365,291.809997,291.822750016095,291.809997,0.23001099999999,3490,1017614.15114,101761.415114,-920.448362198389,6.98,-927.428362198389,"SL",101771.320187658,100843.89182546,-1.15533076996408
"7",18554,2020-10-19 13:35:00,2020-10-19 13:55:00,"Long",291.040008,291.070725450443,290.170013,290.142559271245,290.170013,0.869995000000017,1159,337315.369272,33731.5369272,-1075.74460169081,2.318,-1078.06260169081,"SL",100843.89182546,99765.8292237688,-1.06916267242716
"8",18555,2020-10-20 13:35:00,2020-10-20 13:35:00,"Long",284.679992,284.695365026358,284.279998,284.253162937903,284.279998,0.399994000000049,2494,709991.900048,70999.1900048,-1102.85200860668,4.988,-1107.84000860668,"SL",99765.8292237688,98657.9892151622,-1.11052187896545
"9",18556,2020-10-21 13:35:00,2020-10-21 15:15:00,"Long",285.5,285.525297785472,284.339996,284.324590488996,284.339996,1.16000400000001,850,242675,24267.5,-1020.60120200419,1.7,-1022.30120200419,"SL",98657.9892151622,97635.688013158,-1.03681305967522
"10",18557,2020-10-22 13:35:00,2020-10-22 13:35:00,"Long",285.48001,285.504587408405,285.049987,285.041080342209,285.049987,0.430023000000006,2270,648039.6227,64803.96227,-1052.1610402646,4.54,-1056.7010402646,"SL",97635.688013158,96578.9869728934,-1.08251667049403
"11",18558,2020-10-23 13:35:00,2020-10-23 19:55:00,"Short",283.429992,283.408744102797,284.869995,284.877981378102,284.869995,1.44000299999999,670,189898.09464,18989.809464,-984.388974454296,1.34,-985.728974454296,"SL",96578.9869728934,95593.2579984391,-1.02169042377337
"12",18561,2020-10-26 13:35:00,2020-10-26 14:45:00,"Long",283.429992,283.442857250211,282.170013,282.158576535074,282.170013,1.25997900000004,758,214839.933936,21483.9933936,-973.484782073771,1.516,-975.000782073771,"SL",95593.2579984391,94618.2572163653,-1.02087472500483
"13",18563,2020-10-28 13:35:00,2020-10-28 19:55:00,"Short",277.429992,277.419976962232,271.670013,271.678498903848,278.640106,1.21011399999998,781,216672.823752,21667.2823752,4484.09436359796,1.562,4482.53236359796,"Timed",94618.2572163653,99100.7895799633,4.74292344224114
"14",18564,2020-10-29 13:35:00,2020-10-29 13:35:00,"Long",274.220001,274.227744231181,272.98999,272.957410301181,272.98999,1.23001100000005,805,220747.100805,22074.7100805,-1022.61881365059,1.61,-1024.22881365059,"SL",99100.7895799633,98076.5607663127,-1.03440857846042
"15",18565,2020-10-30 13:35:00,2020-10-30 13:40:00,"Long",274.25,274.27214805418,273.970001,273.948596883114,273.970001,0.279998999999975,3502,960423.5,96042.35,-1133.07620107577,7.004,-1140.08020107577,"SL",98076.5607663127,96936.4805652369,-1.16268690626317
"16",18568,2020-11-02 14:35:00,2020-11-02 14:35:00,"Short",271.859985,271.831030725566,272.049987,272.061307193829,272.049987,0.190001999999993,3565,969180.846525,96918.0846525,-820.935609355213,7.13,-828.065609355213,"SL",96936.4805652369,96108.4149558817,-1.22249485932959
"17",18569,2020-11-03 14:35:00,2020-11-03 14:45:00,"Short",270.859985,270.852338389712,272.070007,272.077141911255,272.070007,1.21002199999998,794,215062.82809,21506.282809,-972.49399610463,1.588,-974.08199610463,"SL",96108.4149558817,95134.332959777,-1.01386877390855
"18",18571,2020-11-05 14:35:00,2020-11-05 14:35:00,"Short",292.5,292.481735807815,293.559997,293.57365562917,293.559997,1.05999700000001,897,262372.5,26237.25,-979.452079755147,1.794,-981.246079755147,"SL",95134.332959777,94153.0868800219,-1.03200275222918
"19",18572,2020-11-06 14:35:00,2020-11-06 16:35:00,"Short",292,291.97929943155,293.910003,293.92526772341,293.910003,1.91000300000002,492,143664,14366.4,-957.416399595077,0.984,-958.400399595077,"SL",94153.0868800219,93194.6864804268,-1.01987708493646
"20",18575,2020-11-09 14:35:00,2020-11-09 15:00:00,"Short",295.359985,295.338971610869,297.839996,297.84789172758,297.839996,2.48001099999999,375,110759.994375,11075.9994375,-940.8450437668,0.75,-941.5950437668,"SL",93194.6864804268,92253.09143666,-1.01246329823193
"21",18576,2020-11-10 14:35:00,2020-11-10 14:35:00,"Long",286.089996,286.100297905772,285.160003,285.136448353361,285.160003,0.929992999999968,991,283515.186036,28351.5186036,-955.174906439335,1.982,-957.156906439335,"SL",92253.09143666,91295.9345302207,-1.03855572290444
